id,uid,date,home_id,home_uid,home_location,home_name,home_color,home_alternate_color,home_conference_id,home_score,home_winner,away_id,away_uid,away_location,away_name,away_color,away_alternate_color,away_is_active,away_conference_id,away_score,away_winner,game_id,season,venue_address_city,venue_address_state
401851576,s:40~l:54~e:401851576~c:401851576,2026-03-06T19:00Z,2710,s:40~l:54~t:2710,"Western Illinois",Leathernecks,4e1e8a,ffc90a,20,74,TRUE,2546,s:40~l:54~t:2546,"Southeast Missouri State",Redhawks,c8102e,000000,TRUE,20,66,FALSE,401851576,2026,Evansville,IN
401851319,s:40~l:54~e:401851319~c:401851319,2026-03-06T18:30Z,2507,s:40~l:54~t:2507,Providence,Friars,000000,a3a19e,4,69,TRUE,305,s:40~l:54~t:305,DePaul,"Blue Demons",2d649c,ce1125,TRUE,4,55,FALSE,401851319,2026,Uncasville,CT
401851261,s:40~l:54~e:401851261~c:401851261,2026-03-06T18:30Z,2166,s:40~l:54~t:2166,Davidson,Wildcats,000000,e51837,3,64,TRUE,2603,s:40~l:54~t:2603,"Saint Joseph's",Hawks,9e1b32,6c6f70,TRUE,3,59,FALSE,401851261,2026,"Glen Allen",VA
401851192,s:40~l:54~e:401851192~c:401851192,2026-03-06T18:30Z,152,s:40~l:54~t:152,"NC State",Wolfpack,cc0000,ffffff,2,63,FALSE,87,s:40~l:54~t:87,"Notre Dame","Fighting Irish",062340,c99700,TRUE,2,81,TRUE,401851192,2026,Duluth,GA
401851632,s:40~l:54~e:401851632~c:401851632,2026-03-06T18:15Z,2193,s:40~l:54~t:2193,"East Tennessee State",Bucs,002d61,ffc423,24,48,FALSE,2535,s:40~l:54~t:2535,Samford,Bulldogs,005485,bc0023,TRUE,24,57,TRUE,401851632,2026,Asheville,NC
401851729,s:40~l:54~e:401851729~c:401851729,2026-03-06T18:00Z,198,s:40~l:54~t:198,"Oral Roberts","Golden Eagles",002462,dac792,47,54,FALSE,2900,s:40~l:54~t:2900,"St. Thomas-Minnesota",Tommies,000000,NA,TRUE,47,81,TRUE,401851729,2026,"Sioux Falls",SD
401851747,s:40~l:54~e:401851747~c:401851747,2026-03-06T17:30Z,276,s:40~l:54~t:276,Marshall,"Thundering Herd",00b140,000000,27,58,FALSE,6,s:40~l:54~t:6,"South Alabama",Jaguars,00205b,bf0d3e,TRUE,27,73,TRUE,401851747,2026,Pensacola,FL
401851379,s:40~l:54~e:401851379~c:401851379,2026-03-06T17:00Z,26,s:40~l:54~t:26,UCLA,Bruins,2774ae,f2a900,7,78,TRUE,264,s:40~l:54~t:264,Washington,Huskies,33006f,e8d3a2,TRUE,7,60,FALSE,401851379,2026,Indianapolis,IN
401851609,s:40~l:54~e:401851609~c:401851609,2026-03-06T17:00Z,2579,s:40~l:54~t:2579,"South Carolina",Gamecocks,73000a,000000,23,87,TRUE,96,s:40~l:54~t:96,Kentucky,Wildcats,0033a0,ffffff,TRUE,23,64,FALSE,401851609,2026,Greenville,SC
401851458,s:40~l:54~e:401851458~c:401851458,2026-03-06T17:00Z,2514,s:40~l:54~t:2514,Quinnipiac,Bobcats,041B43,NA,13,59,TRUE,2363,s:40~l:54~t:2363,Manhattan,Jaspers,4f8537,b5b7ba,TRUE,13,43,FALSE,401851458,2026,"Atlantic City",NJ
